iso3,scheme_code,scheme_label,axis_code,axis_label,score,is_composite,rank
ISR,equal,Equal,infrastructure_posture,Infrastructure Posture,-0.5544686152871316,0,
IND,equal,Equal,infrastructure_posture,Infrastructure Posture,-2.229260313998434,0,
TWN,equal,Equal,infrastructure_posture,Infrastructure Posture,2.9890619893754217e-16,0,
GBR,equal,Equal,composite,Composite,2.2267476254147716,1,1
KOR,equal,Equal,composite,Composite,1.951351886922093,1,2
FRA,equal,Equal,composite,Composite,1.7917881830499278,1,3
EUU,equal,Equal,composite,Composite,1.7852013551483301,1,4
JPN,equal,Equal,composite,Composite,1.7245295056769612,1,5
SGP,equal,Equal,composite,Composite,1.418028311848171,1,7
CAN,equal,Equal,composite,Composite,1.4457526654261985,1,6
DEU,equal,Equal,composite,Composite,1.2850517748219918,1,8
SWE,equal,Equal,composite,Composite,0.9576200391882973,1,9
ARE,equal,Equal,composite,Composite,0.6732053418002522,1,10
SAU,equal,Equal,composite,Composite,0.6277064363819601,1,11
ISR,equal,Equal,composite,Composite,0.10006704343400835,1,12
IND,equal,Equal,composite,Composite,0.07317039966176075,1,13
TWN,equal,Equal,composite,Composite,0.06494886182940063,1,14
GBR,pca,PCA-derived,capacity_depth,Capacity Depth,0.7796515883438584,0,
KOR,pca,PCA-derived,capacity_depth,Capacity Depth,0.8010088791935449,0,
FRA,pca,PCA-derived,capacity_depth,Capacity Depth,0.6896990972421366,0,
EUU,pca,PCA-derived,capacity_depth,Capacity Depth,1.3249587548119397,0,
JPN,pca,PCA-derived,capacity_depth,Capacity Depth,0.3113914931611819,0,
SGP,pca,PCA-derived,capacity_depth,Capacity Depth,0.17768019311009903,0,
CAN,pca,PCA-derived,capacity_depth,Capacity Depth,0.5806031380439718,0,
DEU,pca,PCA-derived,capacity_depth,Capacity Depth,0.19256912670038812,0,
SWE,pca,PCA-derived,capacity_depth,Capacity Depth,-0.933725950757532,0,
ARE,pca,PCA-derived,capacity_depth,Capacity Depth,-0.6863224133369432,0,
SAU,pca,PCA-derived,capacity_depth,Capacity Depth,-0.6762941285956495,0,
ISR,pca,PCA-derived,capacity_depth,Capacity Depth,-0.7618625484923083,0,
IND,pca,PCA-derived,capacity_depth,Capacity Depth,-0.2632365229666074,0,
TWN,pca,PCA-derived,capacity_depth,Capacity Depth,-1.5361207064580715,0,
GBR,pca,PCA-derived,governance_orientation,Governance Orientation,1.8184972573637115,0,
KOR,pca,PCA-derived,governance_orientation,Governance Orientation,0.3584637640337334,0,
FRA,pca,PCA-derived,governance_orientation,Governance Orientation,0.6224187931381131,0,
EUU,pca,PCA-derived,governance_orientation,Governance Orientation,0.5702126558193724,0,
JPN,pca,PCA-derived,governance_orientation,Governance Orientation,0.5895128400702165,0,
SGP,pca,PCA-derived,governance_orientation,Governance Orientation,-0.15974319852364202,0,
CAN,pca,PCA-derived,governance_orientation,Governance Orientation,0.3943684201250226,0,
DEU,pca,PCA-derived,governance_orientation,Governance Orientation,-0.3302387742669793,0,
SWE,pca,PCA-derived,governance_orientation,Governance Orientation,-0.2948411871611756,0,
ARE,pca,PCA-derived,governance_orientation,Governance Orientation,-0.8147264236543974,0,
SAU,pca,PCA-derived,governance_orientation,Governance Orientation,-0.8296685834473743,0,
ISR,pca,PCA-derived,governance_orientation,Governance Orientation,-0.5979193102564062,0,
IND,pca,PCA-derived,governance_orientation,Governance Orientation,-0.5902172667163585,0,
TWN,pca,PCA-derived,governance_orientation,Governance Orientation,-0.7361189865238369,0,
GBR,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.45550568364296873,0,
KOR,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.5577983577607475,0,
FRA,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.3144743797224657,0,
EUU,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.08329631287037759,0,
JPN,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.28724900198726766,0,
SGP,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.9191327775637507,0,
CAN,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.07543553899192597,0,
DEU,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.43292962997910156,0,
SWE,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,0.5823875562721186,0,
ARE,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,-0.17791927376862013,0,
SAU,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,-0.5095010617130933,0,
ISR,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,-0.709059845167866,0,
IND,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,-2.311729058141141,0,
TWN,pca,PCA-derived,infrastructure_posture,Infrastructure Posture,2.9185393796555334e-16,0,
GBR,pca,PCA-derived,composite,Composite,2.570781331186592,1,1
KOR,pca,PCA-derived,composite,Composite,1.9984202566312443,1,4
FRA,pca,PCA-derived,composite,Composite,2.0409083516782784,1,3
EUU,pca,PCA-derived,composite,Composite,2.1258117648884522,1,2
JPN,pca,PCA-derived,composite,Composite,1.8969036723598962,1,5
SGP,pca,PCA-derived,composite,Composite,1.5492216978542088,1,7
CAN,pca,PCA-derived,composite,Composite,1.8366550471065204,1,6
DEU,pca,PCA-derived,composite,Composite,1.334502272929301,1,8
SWE,pca,PCA-derived,composite,Composite,0.9782071568609262,1,9
ARE,pca,PCA-derived,composite,Composite,0.307074898861617,1,11
SAU,pca,PCA-derived,composite,Composite,0.11578583614922236,1,12
ISR,pca,PCA-derived,composite,Composite,0.6614288847574799,1,10
IND,pca,PCA-derived,composite,Composite,0.06740917857924543,1,13
TWN,pca,PCA-derived,composite,Composite,0.06024599012499694,1,14
GBR,literature,Literature-elicited,capacity_depth,Capacity Depth,0.6927987387258514,0,
KOR,literature,Literature-elicited,capacity_depth,Capacity Depth,0.9374541196584364,0,
FRA,literature,Literature-elicited,capacity_depth,Capacity Depth,0.6535112287561511,0,
EUU,literature,Literature-elicited,capacity_depth,Capacity Depth,1.1797989830145867,0,
JPN,literature,Literature-elicited,capacity_depth,Capacity Depth,0.32949065522053694,0,
SGP,literature,Literature-elicited,capacity_depth,Capacity Depth,0.2417888539369913,0,
CAN,literature,Literature-elicited,capacity_depth,Capacity Depth,0.582103832471716,0,
DEU,literature,Literature-elicited,capacity_depth,Capacity Depth,0.13704951101425916,0,
SWE,literature,Literature-elicited,capacity_depth,Capacity Depth,-0.9059845541984755,0,
ARE,literature,Literature-elicited,capacity_depth,Capacity Depth,-0.5792051989231402,0,
SAU,literature,Literature-elicited,capacity_depth,Capacity Depth,-0.6500900609137877,0,
ISR,literature,Literature-elicited,capacity_depth,Capacity Depth,-0.6316655580433097,0,
IND,literature,Literature-elicited,capacity_depth,Capacity Depth,-0.42592783976698356,0,
TWN,literature,Literature-elicited,capacity_depth,Capacity Depth,-1.5611227109528234,0,
