country_name,iso3,action_key,description,target_indicator,target_axis,current_value,new_value,baseline_axis_score,new_axis_score,delta_axis_score,baseline_composite,new_composite,delta_composite,baseline_rank,new_rank,delta_rank,shift_artifact_flagged
Singapore,SGP,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,0.11,0.342,0.232,1.731,1.841,0.11,6,4,-2,False
Singapore,SGP,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,0.11,0.197,0.087,1.731,1.774,0.043,6,4,-2,False
South Korea,KOR,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,0.77,0.857,0.087,2.238,2.272,0.034,1,1,0,False
Sweden,SWE,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.935,-0.372,0.563,1.049,1.435,0.386,9,7,-2,False
Sweden,SWE,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,0.239,0.683,0.444,1.049,1.158,0.108,9,9,0,False
Sweden,SWE,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,0.239,0.326,0.087,1.049,1.073,0.023,9,9,0,False
Saudi Arabia,SAU,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.657,-0.094,0.563,0.793,0.991,0.199,11,10,-1,False
Saudi Arabia,SAU,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.579,-0.135,0.444,0.793,1.025,0.232,11,10,-1,False
Saudi Arabia,SAU,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,-0.579,-0.347,0.232,0.793,0.931,0.138,11,10,-1,False
Saudi Arabia,SAU,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.579,-0.492,0.087,0.793,0.851,0.058,11,11,0,False
United Arab Emirates,ARE,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,0.0,3.0,-0.595,-0.032,0.563,0.885,1.092,0.207,10,9,-1,False
United Arab Emirates,ARE,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.554,-0.109,0.444,0.885,1.13,0.245,10,9,-1,False
United Arab Emirates,ARE,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,-0.554,-0.322,0.232,0.885,1.029,0.145,10,10,0,False
United Arab Emirates,ARE,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.554,-0.467,0.087,0.885,0.945,0.06,10,10,0,False
European Union,EUU,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,1.0,2.0,-0.069,0.018,0.087,1.75,1.803,0.053,5,4,-1,False
Taiwan,TWN,JOIN_AISI,Join AISI Network,C5_aisi_presence,capacity_depth,1.0,3.0,-1.408,-1.033,0.375,0.06,0.06,0.0,14,14,0,True
Taiwan,TWN,PUBLISH_AI_STRATEGY,Publish AI strategy with safety/CBRN provisions,G1_ai_strategy,governance_orientation,2.0,3.0,-0.516,-0.072,0.444,0.06,0.075,0.015,14,14,0,False
Taiwan,TWN,JOIN_AUSTRALIA_GROUP,Join Australia Group export-control regime,G6_australia_group,governance_orientation,0.0,1.0,-0.516,-0.285,0.232,0.06,0.069,0.009,14,14,0,False
Taiwan,TWN,FOSTER_IGSC_FIRM,Foster one additional IGSC member firm,G5_igsc_membership,governance_orientation,0.0,1.0,-0.516,-0.429,0.087,0.06,0.064,0.004,14,14,0,False
